0,0
15,0
30,0
45,0
60,0
75,0
90,0
105,0
120,0
135,0
150,0
165,0
180,0
195,0
210,0
225,0
240,0
255,0
270,0
285,0
300,0
315,0
330,0
345,0
0,15
15,15
30,15
45,15
60,15
75,15
90,15
105,15
120,15
135,15
150,15
165,15
180,15
195,15
210,15
225,15
240,15
255,15
270,15
285,15
300,15
315,15
330,15
345,15
0,30
15,30
30,30
45,30
60,30
75,30
90,30
105,30
120,30
135,30
150,30
165,30
180,30
195,30
210,30
225,30
240,30
255,30
270,30
285,30
300,30
315,30
330,30
345,30
0,45
15,45
30,45
45,45
60,45
75,45
90,45
105,45
120,45
135,45
150,45
165,45
180,45
195,45
210,45
225,45
240,45
255,45
270,45
285,45
300,45
315,45
330,45
345,45
0,60
30,60
60,60
90,60
120,60
150,60
180,60
210,60
240,60
270,60
300,60
330,60
0,75
60,75
120,75
180,75
240,75
300,75
0,90
0,315
15,315
30,315
45,315
60,315
75,315
90,315
105,315
120,315
135,315
150,315
165,315
180,315
195,315
210,315
225,315
240,315
255,315
270,315
285,315
300,315
315,315
330,315
345,315
0,330
15,330
30,330
45,330
60,330
75,330
90,330
105,330
120,330
135,330
150,330
165,330
180,330
195,330
210,330
225,330
240,330
255,330
270,330
285,330
300,330
315,330
330,330
345,330
0,345
15,345
30,345
45,345
60,345
75,345
90,345
105,345
120,345
135,345
150,345
165,345
180,345
195,345
210,345
225,345
240,345
255,345
270,345
285,345
300,345
315,345
330,345
345,345
